"species","genus","family","species.relative","genus.relative","family.in.genus.list","output.note"
"Lathyrus sphaericus","Lathyrus","Fabaceae",NA,NA,NA,"present in megatree"
"Lathyrus sylvestris","Lathyrus","Fabaceae",NA,NA,NA,"present in megatree"
"Lathyrus tuberosus","Lathyrus","Fabaceae",NA,NA,NA,"present in megatree"
"Lathyrus venetus","Lathyrus","Fabaceae",NA,NA,NA,"insertion based on genus"
"Launaea fragilis","Launaea","Asteraceae",NA,NA,NA,"insertion based on genus"
"Lavandula angustifolia","Lavandula","Lamiaceae",NA,NA,NA,"present in megatree"
"Lavandula lanata","Lavandula","Lamiaceae",NA,NA,NA,"insertion based on genus"
"Lavandula latifolia","Lavandula","Lamiaceae",NA,NA,NA,"insertion based on genus"
"Lavandula pedunculata","Lavandula","Lamiaceae",NA,NA,NA,"insertion based on genus"
"Lavandula stoechas","Lavandula","Lamiaceae",NA,NA,NA,"present in megatree"
"Leersia oryzoides","Leersia","Poaceae",NA,NA,NA,"present in megatree"
"Legousia hybrida","Legousia","Campanulaceae",NA,NA,NA,"present in megatree"
"Leontodon hispidus","Leontodon","Asteraceae",NA,NA,NA,"present in megatree"
"Leontodon saxatilis","Leontodon","Asteraceae",NA,NA,NA,"insertion based on genus"
"Leontodon tuberosus","Leontodon","Asteraceae",NA,NA,NA,"insertion based on genus"
"Leontopodium nivale","Leontopodium","Asteraceae",NA,NA,NA,"present in megatree"
"Leonurus cardiaca","Leonurus","Lamiaceae",NA,NA,NA,"present in megatree"
"Lepidium campestre","Lepidium","Brassicaceae",NA,NA,NA,"present in megatree"
"Lepidium coronopus","Lepidium","Brassicaceae",NA,NA,NA,"present in megatree"
"Lepidium didymum","Lepidium","Brassicaceae",NA,NA,NA,"present in megatree"
"Lepidium draba","Lepidium","Brassicaceae",NA,NA,NA,"present in megatree"
"Lepidium latifolium","Lepidium","Brassicaceae",NA,NA,NA,"insertion based on genus"
"Lepidotrichum uechtritzianum","Lepidotrichum","Brassicaceae",NA,NA,NA,"present in megatree"
"Leucanthemopsis alpina","Leucanthemopsis","Asteraceae",NA,NA,NA,"insertion based on family"
"Leucanthemum halleri","Leucanthemum","Asteraceae",NA,NA,NA,"insertion based on genus"
"Leucanthemum vulgare","Leucanthemum","Asteraceae",NA,NA,NA,"present in megatree"
"Leucojum aestivum","Leucojum","Amaryllidaceae",NA,NA,NA,"present in megatree"
"Leuzea conifera","Leuzea","Asteraceae",NA,NA,NA,"insertion based on family"
"Leymus arenarius","Leymus","Poaceae",NA,NA,NA,"present in megatree"
"Ligusticum scothicum","Ligusticum","Apiaceae",NA,NA,NA,"insertion based on genus"
"Ligustrum vulgare","Ligustrum","Oleaceae",NA,NA,NA,"present in megatree"
"Lilium martagon","Lilium","Liliaceae",NA,NA,NA,"present in megatree"
"Limbarda crithmoides","Limbarda","Asteraceae",NA,NA,NA,"present in megatree"
"Limonium bellidifolium","Limonium","Plumbaginaceae",NA,NA,NA,"insertion based on genus"
"Limonium binervosum","Limonium","Plumbaginaceae",NA,NA,NA,"insertion based on genus"
"Limonium gmelini","Limonium","Plumbaginaceae",NA,NA,NA,"insertion based on genus"
"Limonium humile","Limonium","Plumbaginaceae",NA,NA,NA,"present in megatree"
"Limonium sinuatum","Limonium","Plumbaginaceae",NA,NA,NA,"insertion based on genus"
"Limonium vulgare","Limonium","Plumbaginaceae",NA,NA,NA,"present in megatree"
"Limosella aquatica","Limosella","Scrophulariaceae",NA,NA,NA,"present in megatree"
"Linaria alpina","Linaria","Plantaginaceae",NA,NA,NA,"insertion based on genus"
"Linaria angustissima","Linaria","Plantaginaceae",NA,NA,NA,"insertion based on genus"
"Linaria genistifolia","Linaria","Plantaginaceae",NA,NA,NA,"insertion based on genus"
"Linaria purpurea","Linaria","Plantaginaceae",NA,NA,NA,"insertion based on genus"
"Linaria supina","Linaria","Plantaginaceae",NA,NA,NA,"insertion based on genus"
"Linaria vulgaris","Linaria","Plantaginaceae",NA,NA,NA,"present in megatree"
"Lindernia procumbens","Lindernia","Linderniaceae",NA,NA,"Fabaceae","insertion based on genus"
"Linnaea borealis","Linnaea","Linnaeaceae",NA,NA,"Caprifoliaceae","present in megatree"
"Linum arboreum","Linum","Linaceae",NA,NA,NA,"present in megatree"
"Linum austriacum","Linum","Linaceae",NA,NA,NA,"insertion based on genus"
"Linum bienne","Linum","Linaceae",NA,NA,NA,"present in megatree"
"Linum catharticum","Linum","Linaceae",NA,NA,NA,"insertion based on genus"
"Linum extraaxillare","Linum","Linaceae",NA,NA,NA,"insertion based on genus"
"Linum perenne","Linum","Linaceae",NA,NA,NA,"present in megatree"
"Linum suffruticosum","Linum","Linaceae",NA,NA,NA,"present in megatree"
"Linum tauricum","Linum","Linaceae",NA,NA,NA,"insertion based on genus"
"Lipandra polysperma","Lipandra","Chenopodiaceae",NA,NA,"Amaranthaceae","present in megatree"
"Lithospermum officinale","Lithospermum","Boraginaceae",NA,NA,NA,"present in megatree"
"Lobelia urens","Lobelia","Campanulaceae",NA,NA,NA,"insertion based on genus"
"Logfia gallica","Logfia","Asteraceae",NA,NA,NA,"present in megatree"
"Logfia minima","Logfia","Asteraceae",NA,NA,NA,"present in megatree"
"Lolium giganteum","Lolium","Poaceae",NA,NA,NA,"present in megatree"
"Lolium multiflorum","Lolium","Poaceae",NA,NA,NA,"present in megatree"
"Lolium perenne","Lolium","Poaceae",NA,NA,NA,"present in megatree"
"Lolium pratense","Lolium","Poaceae",NA,NA,NA,"insertion based on genus"
"Lolium rigidum","Lolium","Poaceae",NA,NA,NA,"present in megatree"
"Lolium temulentum","Lolium","Poaceae",NA,NA,NA,"present in megatree"
"Lomelosia argentea","Lomelosia","Dipsacaceae",NA,NA,"Caprifoliaceae","present in megatree"
"Lomelosia palaestina","Lomelosia","Dipsacaceae",NA,NA,"Caprifoliaceae","insertion based on genus"
"Lonicera periclymenum","Lonicera","Caprifoliaceae",NA,NA,NA,"present in megatree"
"Lonicera pyrenaica","Lonicera","Caprifoliaceae",NA,NA,NA,"present in megatree"
"Lonicera xylosteum","Lonicera","Caprifoliaceae",NA,NA,NA,"present in megatree"
"Lotus alpinus","Lotus","Fabaceae",NA,NA,NA,"insertion based on genus"
"Lotus angustissimus","Lotus","Fabaceae",NA,NA,NA,"present in megatree"
"Lotus conimbricensis","Lotus","Fabaceae",NA,NA,NA,"insertion based on genus"
"Lotus corniculatus","Lotus","Fabaceae",NA,NA,NA,"present in megatree"
"Lotus cytisoides","Lotus","Fabaceae",NA,NA,NA,"insertion based on genus"
"Lotus dorycnium","Lotus","Fabaceae",NA,NA,NA,"present in megatree"
"Lotus edulis","Lotus","Fabaceae",NA,NA,NA,"present in megatree"
"Lotus halophilus","Lotus","Fabaceae",NA,NA,NA,"insertion based on genus"
"Lotus hirsutus","Lotus","Fabaceae",NA,NA,NA,"insertion based on genus"
"Lotus maritimus","Lotus","Fabaceae",NA,NA,NA,"insertion based on genus"
"Lotus ornithopodioides","Lotus","Fabaceae",NA,NA,NA,"insertion based on genus"
"Lotus pedunculatus","Lotus","Fabaceae",NA,NA,NA,"present in megatree"
"Lotus peregrinus","Lotus","Fabaceae",NA,NA,NA,"insertion based on genus"
"Lotus rectus","Lotus","Fabaceae",NA,NA,NA,"insertion based on genus"
"Lotus tenuis","Lotus","Fabaceae",NA,NA,NA,"present in megatree"
"Lotus tetragonolobus","Lotus","Fabaceae",NA,NA,NA,"insertion based on genus"
"Ludwigia palustris","Ludwigia","Onagraceae",NA,NA,NA,"present in megatree"
"Lunaria annua","Lunaria","Brassicaceae",NA,NA,NA,"present in megatree"
"Lupinus angustifolius","Lupinus","Fabaceae",NA,NA,NA,"present in megatree"
"Luzula alpinopilosa","Luzula","Juncaceae",NA,NA,NA,"insertion based on genus"
"Luzula campestris","Luzula","Juncaceae",NA,NA,NA,"present in megatree"
"Luzula forsteri","Luzula","Juncaceae",NA,NA,NA,"present in megatree"
"Luzula lutea","Luzula","Juncaceae",NA,NA,NA,"insertion based on genus"
"Luzula nivea","Luzula","Juncaceae",NA,NA,NA,"present in megatree"
"Luzula pilosa","Luzula","Juncaceae",NA,NA,NA,"present in megatree"
"Luzula spicata","Luzula","Juncaceae",NA,NA,NA,"present in megatree"
"Luzula sylvatica","Luzula","Juncaceae",NA,NA,NA,"present in megatree"
"Lycopus europaeus","Lycopus","Lamiaceae",NA,NA,NA,"present in megatree"
"Lycopus exaltatus","Lycopus","Lamiaceae",NA,NA,NA,"present in megatree"
"Lygeum spartum","Lygeum","Poaceae",NA,NA,NA,"present in megatree"
"Lysimachia arvensis","Lysimachia","Primulaceae",NA,NA,NA,"present in megatree"
"Lysimachia foemina","Lysimachia","Primulaceae",NA,NA,NA,"insertion based on genus"
"Lysimachia maritima","Lysimachia","Primulaceae",NA,NA,NA,"present in megatree"
"Lysimachia nemorum","Lysimachia","Primulaceae",NA,NA,NA,"present in megatree"
"Lysimachia punctata","Lysimachia","Primulaceae",NA,NA,NA,"present in megatree"
"Lysimachia tenella","Lysimachia","Primulaceae",NA,NA,NA,"present in megatree"
"Lysimachia vulgaris","Lysimachia","Primulaceae",NA,NA,NA,"present in megatree"
"Lythrum hyssopifolia","Lythrum","Lythraceae",NA,NA,NA,"present in megatree"
"Lythrum portula","Lythrum","Lythraceae",NA,NA,NA,"present in megatree"
"Lythrum salicaria","Lythrum","Lythraceae",NA,NA,NA,"present in megatree"
"Macrochloa tenacissima","Macrochloa","Poaceae",NA,NA,NA,"present in megatree"
"Maianthemum bifolium","Maianthemum","Asparagaceae",NA,NA,NA,"present in megatree"
"Malcolmia flexuosa","Malcolmia","Brassicaceae",NA,NA,NA,"insertion based on genus"
"Malus sylvestris","Malus","Rosaceae",NA,NA,NA,"present in megatree"
"Malva arborea","Malva","Malvaceae",NA,NA,NA,"present in megatree"
"Malva moschata","Malva","Malvaceae",NA,NA,NA,"present in megatree"
"Malva multiflora","Malva","Malvaceae",NA,NA,NA,"present in megatree"
"Malva neglecta","Malva","Malvaceae",NA,NA,NA,"present in megatree"
"Malva setigera","Malva","Malvaceae",NA,NA,NA,"insertion based on genus"
"Malva sylvestris","Malva","Malvaceae",NA,NA,NA,"present in megatree"
"Mandragora autumnalis","Mandragora","Solanaceae",NA,NA,NA,"insertion based on genus"
"Marcus-kochia littorea","Marcus-kochia","Brassicaceae",NA,NA,NA,"present in megatree"
"Marcus-kochia ramosissima","Marcus-kochia","Brassicaceae",NA,NA,NA,"present in megatree"
"Matricaria chamomilla","Matricaria","Asteraceae",NA,NA,NA,"insertion based on genus"
"Matricaria discoidea","Matricaria","Asteraceae",NA,NA,NA,"present in megatree"
"Matthiola incana","Matthiola","Brassicaceae",NA,NA,NA,"present in megatree"
"Matthiola odoratissima","Matthiola","Brassicaceae",NA,NA,NA,"insertion based on genus"
"Matthiola sinuata","Matthiola","Brassicaceae",NA,NA,NA,"insertion based on genus"
"Matthiola tricuspidata","Matthiola","Brassicaceae",NA,NA,NA,"insertion based on genus"
"Mattiastrum lithospermifolium","Mattiastrum","Boraginaceae",NA,NA,NA,"insertion based on family"
"Medicago arabica","Medicago","Fabaceae",NA,NA,NA,"present in megatree"
"Medicago arborea","Medicago","Fabaceae",NA,NA,NA,"present in megatree"
"Medicago coronata","Medicago","Fabaceae",NA,NA,NA,"insertion based on genus"
"Medicago disciformis","Medicago","Fabaceae",NA,NA,NA,"insertion based on genus"
"Medicago falcata","Medicago","Fabaceae",NA,NA,NA,"insertion based on genus"
"Medicago littoralis","Medicago","Fabaceae",NA,NA,NA,"present in megatree"
"Medicago lupulina","Medicago","Fabaceae",NA,NA,NA,"present in megatree"
"Medicago marina","Medicago","Fabaceae",NA,NA,NA,"present in megatree"
"Medicago minima","Medicago","Fabaceae",NA,NA,NA,"present in megatree"
"Medicago monspeliaca","Medicago","Fabaceae",NA,NA,NA,"present in megatree"
"Medicago murex","Medicago","Fabaceae",NA,NA,NA,"present in megatree"
"Medicago orbicularis","Medicago","Fabaceae",NA,NA,NA,"present in megatree"
"Medicago polymorpha","Medicago","Fabaceae",NA,NA,NA,"present in megatree"
"Medicago rigidula","Medicago","Fabaceae",NA,NA,NA,"present in megatree"
"Medicago rugosa","Medicago","Fabaceae",NA,NA,NA,"insertion based on genus"
"Medicago scutellata","Medicago","Fabaceae",NA,NA,NA,"present in megatree"
"Medicago truncatula","Medicago","Fabaceae",NA,NA,NA,"present in megatree"
"Melampyrum arvense","Melampyrum","Orobanchaceae",NA,NA,NA,"insertion based on genus"
"Melampyrum pratense","Melampyrum","Orobanchaceae",NA,NA,NA,"present in megatree"
"Melica ciliata","Melica","Poaceae",NA,NA,NA,"present in megatree"
"Melica nutans","Melica","Poaceae",NA,NA,NA,"present in megatree"
"Melica uniflora","Melica","Poaceae",NA,NA,NA,"present in megatree"
"Melilotus albus","Melilotus","Fabaceae",NA,NA,NA,"present in megatree"
"Melilotus indicus","Melilotus","Fabaceae",NA,NA,NA,"present in megatree"
"Melilotus infestus","Melilotus","Fabaceae",NA,NA,NA,"present in megatree"
"Melilotus neapolitanus","Melilotus","Fabaceae",NA,NA,NA,"insertion based on genus"
"Melilotus officinalis","Melilotus","Fabaceae",NA,NA,NA,"present in megatree"
"Melilotus siculus","Melilotus","Fabaceae",NA,NA,NA,"insertion based on genus"
"Melilotus sulcatus","Melilotus","Fabaceae",NA,NA,NA,"present in megatree"
"Melissa officinalis","Melissa","Lamiaceae",NA,NA,NA,"present in megatree"
"Mentha aquatica","Mentha","Lamiaceae",NA,NA,NA,"present in megatree"
"Mentha longifolia","Mentha","Lamiaceae",NA,NA,NA,"present in megatree"
"Mentha pulegium","Mentha","Lamiaceae",NA,NA,NA,"present in megatree"
"Mentha suaveolens","Mentha","Lamiaceae",NA,NA,NA,"present in megatree"
"Mercurialis perennis","Mercurialis","Euphorbiaceae",NA,NA,NA,"present in megatree"
"Meum athamanticum","Meum","Apiaceae",NA,NA,NA,"insertion based on family"
"Mibora minima","Mibora","Poaceae",NA,NA,NA,"present in megatree"
"Micranthes nivalis","Micranthes","Saxifragaceae",NA,NA,NA,"present in megatree"
"Micranthes stellaris","Micranthes","Saxifragaceae",NA,NA,NA,"present in megatree"
"Micromeria nervosa","Micromeria","Lamiaceae",NA,NA,NA,"insertion based on genus"
"Milium effusum","Milium","Poaceae",NA,NA,NA,"present in megatree"
"Minuartia mucronata","Minuartia","Caryophyllaceae",NA,NA,NA,"insertion based on genus"
"Minuartia recurva","Minuartia","Caryophyllaceae",NA,NA,NA,"insertion based on genus"
"Misopates orontium","Misopates","Plantaginaceae",NA,NA,NA,"present in megatree"
"Moehringia trinervia","Moehringia","Caryophyllaceae",NA,NA,NA,"present in megatree"
"Moenchia erecta","Moenchia","Caryophyllaceae",NA,NA,NA,"present in megatree"
"Molinia caerulea","Molinia","Poaceae",NA,NA,NA,"present in megatree"
"Monotropa hypopitys","Monotropa","Ericaceae",NA,NA,NA,"insertion based on genus"
"Montia fontana","Montia","Montiaceae",NA,NA,NA,"present in megatree"
"Muscari comosum","Muscari","Asparagaceae",NA,NA,NA,"insertion based on genus"
"Muscari neglectum","Muscari","Asparagaceae",NA,NA,NA,"present in megatree"
"Muscari tenuiflorum","Muscari","Asparagaceae",NA,NA,NA,"insertion based on genus"
"Myosotis alpestris","Myosotis","Boraginaceae",NA,NA,NA,"present in megatree"
"Myosotis arvensis","Myosotis","Boraginaceae",NA,NA,NA,"present in megatree"
"Myosotis discolor","Myosotis","Boraginaceae",NA,NA,NA,"present in megatree"
"Myosotis ramosissima","Myosotis","Boraginaceae",NA,NA,NA,"present in megatree"
"Myosotis scorpioides","Myosotis","Boraginaceae",NA,NA,NA,"present in megatree"
"Myosotis sylvatica","Myosotis","Boraginaceae",NA,NA,NA,"present in megatree"
"Myrica gale","Myrica","Myricaceae",NA,NA,NA,"present in megatree"
"Myricaria germanica","Myricaria","Tamaricaceae",NA,NA,NA,"present in megatree"
"Myriophyllum alterniflorum","Myriophyllum","Haloragaceae",NA,NA,NA,"present in megatree"
"Myriophyllum spicatum","Myriophyllum","Haloragaceae",NA,NA,NA,"present in megatree"
"Myrtus communis","Myrtus","Myrtaceae",NA,NA,NA,"present in megatree"
"Najas marina","Najas","Hydrocharitaceae",NA,NA,NA,"present in megatree"
"Narcissus pseudonarcissus","Narcissus","Amaryllidaceae",NA,NA,NA,"present in megatree"
"Nardus stricta","Nardus","Poaceae",NA,NA,NA,"present in megatree"
"Narthecium ossifragum","Narthecium","Nartheciaceae",NA,NA,NA,"present in megatree"
"Nasturtium microphyllum","Nasturtium","Brassicaceae",NA,NA,NA,"present in megatree"
"Nasturtium officinale","Nasturtium","Brassicaceae",NA,NA,NA,"present in megatree"
"Neotinea ustulata","Neotinea","Orchidaceae",NA,NA,NA,"insertion based on genus"
"Neottia nidus-avis","Neottia","Orchidaceae",NA,NA,NA,"insertion based on genus"
"Nepeta nuda","Nepeta","Lamiaceae",NA,NA,NA,"insertion based on genus"
"Nigella arvensis","Nigella","Ranunculaceae",NA,NA,NA,"present in megatree"
"Nigella damascena","Nigella","Ranunculaceae",NA,NA,NA,"present in megatree"
"Noccaea alpestris","Noccaea","Brassicaceae",NA,NA,NA,"present in megatree"
"Noccaea caerulescens","Noccaea","Brassicaceae",NA,NA,NA,"present in megatree"
"Noccaea perfoliata","Noccaea","Brassicaceae",NA,NA,NA,"insertion based on genus"
"Notobasis syriaca","Notobasis","Asteraceae",NA,NA,NA,"present in megatree"
"Nuphar lutea","Nuphar","Nymphaeaceae",NA,NA,NA,"present in megatree"
"Nymphaea alba","Nymphaea","Nymphaeaceae",NA,NA,NA,"present in megatree"
"Odontarrhena bertolonii","Odontarrhena","Brassicaceae",NA,NA,NA,"present in megatree"
"Odontarrhena heldreichii","Odontarrhena","Brassicaceae",NA,NA,NA,"present in megatree"
"Oenanthe aquatica","Oenanthe","Apiaceae",NA,NA,NA,"present in megatree"
"Oenanthe crocata","Oenanthe","Apiaceae",NA,NA,NA,"present in megatree"
"Oenanthe fistulosa","Oenanthe","Apiaceae",NA,NA,NA,"present in megatree"
"Oenanthe pimpinelloides","Oenanthe","Apiaceae",NA,NA,NA,"present in megatree"
"Oenothera biennis","Oenothera","Onagraceae",NA,NA,NA,"present in megatree"
"Oenothera glazioviana","Oenothera","Onagraceae",NA,NA,NA,"present in megatree"
"Oenothera parviflora","Oenothera","Onagraceae",NA,NA,NA,"insertion based on genus"
"Oloptum miliaceum","Oloptum","Poaceae",NA,NA,NA,"present in megatree"
"Omalotheca supina","Omalotheca","Asteraceae",NA,NA,NA,"present in megatree"
"Omalotheca sylvatica","Omalotheca","Asteraceae",NA,NA,NA,"present in megatree"
"Onobrychis aequidentata","Onobrychis","Fabaceae",NA,NA,NA,"insertion based on genus"
"Onobrychis alba","Onobrychis","Fabaceae",NA,NA,NA,"present in megatree"
"Onobrychis arenaria","Onobrychis","Fabaceae",NA,NA,NA,"insertion based on genus"
"Onobrychis caput-galli","Onobrychis","Fabaceae",NA,NA,NA,"present in megatree"
"Onobrychis montana","Onobrychis","Fabaceae",NA,NA,NA,"present in megatree"
"Onobrychis viciifolia","Onobrychis","Fabaceae",NA,NA,NA,"present in megatree"
"Ononis cristata","Ononis","Fabaceae",NA,NA,NA,"insertion based on genus"
"Ononis minutissima","Ononis","Fabaceae",NA,NA,NA,"insertion based on genus"
"Ononis natrix","Ononis","Fabaceae",NA,NA,NA,"present in megatree"
"Ononis ornithopodioides","Ononis","Fabaceae",NA,NA,NA,"insertion based on genus"
"Ononis reclinata","Ononis","Fabaceae",NA,NA,NA,"present in megatree"
"Ononis spinosa","Ononis","Fabaceae",NA,NA,NA,"present in megatree"
"Ononis variegata","Ononis","Fabaceae",NA,NA,NA,"insertion based on genus"
"Ononis viscosa","Ononis","Fabaceae",NA,NA,NA,"insertion based on genus"
"Onopordum acanthium","Onopordum","Asteraceae",NA,NA,NA,"present in megatree"
"Ophrys apifera","Ophrys","Orchidaceae",NA,NA,NA,"present in megatree"
"Ophrys insectifera","Ophrys","Orchidaceae",NA,NA,NA,"present in megatree"
"Ophrys sphegodes","Ophrys","Orchidaceae",NA,NA,NA,"insertion based on genus"
"Opopanax chironium","Opopanax","Apiaceae",NA,NA,NA,"insertion based on genus"
"Orchis anthropophora","Orchis","Orchidaceae",NA,NA,NA,"insertion based on genus"
"Orchis mascula","Orchis","Orchidaceae",NA,NA,NA,"present in megatree"
"Orchis militaris","Orchis","Orchidaceae",NA,NA,NA,"insertion based on genus"
"Orchis simia","Orchis","Orchidaceae",NA,NA,NA,"insertion based on genus"
"Oreojuncus monanthos","Oreojuncus","Juncaceae",NA,NA,NA,"insertion based on genus"
"Oreojuncus trifidus","Oreojuncus","Juncaceae",NA,NA,NA,"present in megatree"
"Origanum microphyllum","Origanum","Lamiaceae",NA,NA,NA,"present in megatree"
"Origanum onites","Origanum","Lamiaceae",NA,NA,NA,"present in megatree"
"Origanum vulgare","Origanum","Lamiaceae",NA,NA,NA,"present in megatree"
"Orlaya grandiflora","Orlaya","Apiaceae",NA,NA,NA,"present in megatree"
"Ornithogalum narbonense","Ornithogalum","Asparagaceae",NA,NA,NA,"insertion based on genus"
"Ornithogalum pyrenaicum","Ornithogalum","Asparagaceae",NA,NA,NA,"insertion based on genus"
"Ornithopus compressus","Ornithopus","Fabaceae",NA,NA,NA,"present in megatree"
"Ornithopus perpusillus","Ornithopus","Fabaceae",NA,NA,NA,"present in megatree"
"Ornithopus pinnatus","Ornithopus","Fabaceae",NA,NA,NA,"present in megatree"
"Orobanche alba","Orobanche","Orobanchaceae",NA,NA,NA,"present in megatree"
"Ostrya carpinifolia","Ostrya","Corylaceae",NA,NA,"Betulaceae","present in megatree"
"Oxalis acetosella","Oxalis","Oxalidaceae",NA,NA,NA,"insertion based on genus"
"Oxybasis chenopodioides","Oxybasis","Chenopodiaceae",NA,NA,"Amaranthaceae","insertion based on genus"
"Oxybasis glauca","Oxybasis","Chenopodiaceae",NA,NA,"Amaranthaceae","present in megatree"
"Oxybasis rubra","Oxybasis","Chenopodiaceae",NA,NA,"Amaranthaceae","present in megatree"
"Oxybasis urbica","Oxybasis","Chenopodiaceae",NA,NA,"Amaranthaceae","insertion based on genus"
"Oxyria digyna","Oxyria","Polygonaceae",NA,NA,NA,"present in megatree"
"Oxytropis campestris","Oxytropis","Fabaceae",NA,NA,NA,"present in megatree"
"Oxytropis halleri","Oxytropis","Fabaceae",NA,NA,NA,"insertion based on genus"
"Oxytropis lapponica","Oxytropis","Fabaceae",NA,NA,NA,"insertion based on genus"
"Oxytropis pilosa","Oxytropis","Fabaceae",NA,NA,NA,"present in megatree"
"Pallenis spinosa","Pallenis","Asteraceae",NA,NA,NA,"present in megatree"
"Pancratium maritimum","Pancratium","Amaryllidaceae",NA,NA,NA,"present in megatree"
"Papaver alpinum","Papaver","Papaveraceae",NA,NA,NA,"present in megatree"
"Papaver dubium","Papaver","Papaveraceae",NA,NA,NA,"present in megatree"
"Papaver rhoeas","Papaver","Papaveraceae",NA,NA,NA,"present in megatree"
"Parapholis filiformis","Parapholis","Poaceae",NA,NA,NA,"present in megatree"
"Parapholis incurva","Parapholis","Poaceae",NA,NA,NA,"present in megatree"
"Parapholis strigosa","Parapholis","Poaceae",NA,NA,NA,"present in megatree"
"Parentucellia viscosa","Parentucellia","Orobanchaceae",NA,NA,NA,"insertion based on genus"
"Parietaria judaica","Parietaria","Urticaceae",NA,NA,NA,"insertion based on genus"
"Paris quadrifolia","Paris","Melanthiaceae",NA,NA,NA,"present in megatree"
"Parnassia palustris","Parnassia","Parnassiaceae",NA,NA,"Celastraceae","present in megatree"
"Pastinaca sativa","Pastinaca","Apiaceae",NA,NA,NA,"present in megatree"
"Patzkea paniculata","Patzkea","Poaceae",NA,NA,NA,"insertion based on family"
"Pedicularis sylvatica","Pedicularis","Orobanchaceae",NA,NA,NA,"insertion based on genus"
"Pedicularis tuberosa","Pedicularis","Orobanchaceae",NA,NA,NA,"insertion based on genus"
"Pentanema britannica","Pentanema","Asteraceae",NA,NA,NA,"insertion based on genus"
"Pentanema ensifolium","Pentanema","Asteraceae",NA,NA,NA,"present in megatree"
"Pentanema germanicum","Pentanema","Asteraceae",NA,NA,NA,"present in megatree"
"Pentanema salicinum","Pentanema","Asteraceae",NA,NA,NA,"present in megatree"
"Pentanema squarrosum","Pentanema","Asteraceae",NA,NA,NA,"insertion based on genus"
"Pentanema verbascifolium","Pentanema","Asteraceae",NA,NA,NA,"insertion based on genus"
"Periploca angustifolia","Periploca","Apocynaceae",NA,NA,NA,"insertion based on genus"
"Periploca graeca","Periploca","Apocynaceae",NA,NA,NA,"present in megatree"
"Persicaria hydropiper","Persicaria","Polygonaceae",NA,NA,NA,"present in megatree"
"Persicaria lapathifolia","Persicaria","Polygonaceae",NA,NA,NA,"present in megatree"
"Persicaria maculosa","Persicaria","Polygonaceae",NA,NA,NA,"present in megatree"
"Persicaria minor","Persicaria","Polygonaceae",NA,NA,NA,"present in megatree"
"Petasites hybridus","Petasites","Asteraceae",NA,NA,NA,"insertion based on genus"
"Petromarula pinnata","Petromarula","Campanulaceae",NA,NA,NA,"present in megatree"
"Petrorhagia dubia","Petrorhagia","Caryophyllaceae",NA,NA,NA,"insertion based on genus"
"Petrorhagia nanteuilii","Petrorhagia","Caryophyllaceae",NA,NA,NA,"insertion based on genus"
"Petrorhagia prolifera","Petrorhagia","Caryophyllaceae",NA,NA,NA,"insertion based on genus"
"Petrorhagia saxifraga","Petrorhagia","Caryophyllaceae",NA,NA,NA,"insertion based on genus"
"Petrosedum forsterianum","Petrosedum","Crassulaceae",NA,NA,NA,"present in megatree"
"Petrosedum rupestre","Petrosedum","Crassulaceae",NA,NA,NA,"present in megatree"
"Petrosedum sediforme","Petrosedum","Crassulaceae",NA,NA,NA,"present in megatree"
"Petrosimonia brachiata","Petrosimonia","Chenopodiaceae",NA,NA,"Amaranthaceae","insertion based on genus"
"Peucedanum alsaticum","Peucedanum","Apiaceae",NA,NA,NA,"insertion based on genus"
"Peucedanum cervaria","Peucedanum","Apiaceae",NA,NA,NA,"insertion based on genus"
"Peucedanum officinale","Peucedanum","Apiaceae",NA,NA,NA,"present in megatree"
"Peucedanum oreoselinum","Peucedanum","Apiaceae",NA,NA,NA,"insertion based on genus"
"Peucedanum palustre","Peucedanum","Apiaceae",NA,NA,NA,"insertion based on genus"
"Phagnalon saxatile","Phagnalon","Asteraceae",NA,NA,NA,"present in megatree"
"Phagnalon sordidum","Phagnalon","Asteraceae",NA,NA,NA,"present in megatree"
"Phalaris aquatica","Phalaris","Poaceae",NA,NA,NA,"insertion based on genus"
"Phalaris arundinacea","Phalaris","Poaceae",NA,NA,NA,"present in megatree"
"Phalaris coerulescens","Phalaris","Poaceae",NA,NA,NA,"present in megatree"
"Phalaris minor","Phalaris","Poaceae",NA,NA,NA,"present in megatree"
"Phalaris paradoxa","Phalaris","Poaceae",NA,NA,NA,"present in megatree"
"Phillyrea angustifolia","Phillyrea","Oleaceae",NA,NA,NA,"present in megatree"
"Phillyrea latifolia","Phillyrea","Oleaceae",NA,NA,NA,"present in megatree"
"Phleum alpinum","Phleum","Poaceae",NA,NA,NA,"present in megatree"
"Phleum arenarium","Phleum","Poaceae",NA,NA,NA,"present in megatree"
"Phleum crypsoides","Phleum","Poaceae",NA,NA,NA,"insertion based on genus"
"Phleum exaratum","Phleum","Poaceae",NA,NA,NA,"present in megatree"
"Phleum hirsutum","Phleum","Poaceae",NA,NA,NA,"insertion based on genus"
"Phleum montanum","Phleum","Poaceae",NA,NA,NA,"present in megatree"
"Phleum phleoides","Phleum","Poaceae",NA,NA,NA,"present in megatree"
"Phleum pratense","Phleum","Poaceae",NA,NA,NA,"present in megatree"
"Phleum subulatum","Phleum","Poaceae",NA,NA,NA,"present in megatree"
